ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
24051,JB345932,07/12/2018 12:46:00 AM,001XX E 120TH PL,0110,HOMICIDE,FIRST DEGREE MURDER,PORCH,false,false,0532,005,9,53,01A,1179478,1825098,2018,07/19/2018 03:58:29 PM,41.675346776,-87.618711939,"(41.675346776, -87.618711939)"
24050,JB345912,07/11/2018 11:30:00 PM,088XX S PAULINA ST,0110,HOMICIDE,FIRST DEGREE MURDER,YARD,false,false,2221,022,21,71,01A,1166552,1846136,2018,07/18/2018 03:56:28 PM,41.733362925,-87.665426433,"(41.733362925, -87.665426433)"
24049,JB345261,07/11/2018 03:58:00 PM,057XX S PAULINA ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0715,007,15,67,01A,1165988,1866736,2018,07/18/2018 03:56:28 PM,41.789904134,-87.66690798,"(41.789904134, -87.66690798)"
24048,JB345230,07/11/2018 02:36:00 PM,078XX S GREENWOOD AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0624,006,8,69,01A,1184912,1853262,2018,07/18/2018 03:56:28 PM,41.75250676,-87.597942186,"(41.75250676, -87.597942186)"
24047,JB345129,07/11/2018 01:12:00 PM,058XX S WINCHESTER AVE,0110,HOMICIDE,FIRST DEGREE MURDER,VACANT LOT,false,false,0715,007,15,67,01A,1164360,1865777,2018,07/18/2018 03:56:28 PM,41.787306991,-87.672904413,"(41.787306991, -87.672904413)"
22831,HR264876,01/29/2015 12:01:00 AM,023XX N MOODY AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,2512,025,29,19,01A,1135024,1914713,2015,07/18/2018 03:53:33 PM,41.922162704,-87.779310887,"(41.922162704, -87.779310887)"
24045,JB344519,07/10/2018 11:26:00 PM,085XX S HERMITAGE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,false,false,0614,006,18,71,01A,1166165,1848114,2018,07/17/2018 03:53:57 PM,41.738799084,-87.666788086,"(41.738799084, -87.666788086)"
24044,JB344497,07/10/2018 11:10:00 PM,028XX W 57TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,0824,008,16,63,01A,1158484,1866727,2018,07/17/2018 03:53:57 PM,41.79003576,-87.694423383,"(41.79003576, -87.694423383)"
24043,JB344208,07/09/2018 08:16:00 PM,000XX E 63RD ST,0110,HOMICIDE,FIRST DEGREE MURDER,CTA BUS,false,false,0312,003,20,69,01A,1178252,1863237,2018,07/16/2018 04:10:11 PM,41.780032862,-87.622045795,"(41.780032862, -87.622045795)"
24042,JB338913,07/08/2018 12:23:00 PM,002XX W 95TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0511,005,21,49,01A,1176151,1841938,2018,07/15/2018 03:50:07 PM,41.721633268,-87.630386283,"(41.721633268, -87.630386283)"
24041,JB340723,07/08/2018 12:46:00 PM,055XX W HADDON AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1524,015,37,25,01A,1139021,1907115,2018,07/15/2018 03:50:07 PM,41.901241115,-87.764809559,"(41.901241115, -87.764809559)"
24040,JB340365,07/08/2018 04:16:00 AM,030XX W JACKSON BLVD,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1124,011,28,27,01A,1156343,1898537,2018,07/15/2018 03:50:07 PM,41.877369643,-87.701415852,"(41.877369643, -87.701415852)"
24039,JB340227,07/08/2018 08:04:00 AM,110XX S STATE ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0513,005,34,49,01A,1178220,1831585,2018,07/15/2018 03:50:07 PM,41.693176605,-87.6231207,"(41.693176605, -87.6231207)"
24046,JB335654,07/07/2018 03:49:00 PM,010XX N RIDGEWAY AVE,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,false,false,1112,011,27,23,01A,1151189,1906752,2018,07/14/2018 03:51:39 PM,41.900015031,-87.720124484,"(41.900015031, -87.720124484)"
24053,JA568833,05/02/2018 01:59:00 PM,055XX N LINCOLN AVE,0110,HOMICIDE,FIRST DEGREE MURDER,HOTEL,true,false,2011,020,40,4,01A,1158188,1936762,2018,07/14/2018 03:49:06 PM,41.982224277,-87.693594288,"(41.982224277, -87.693594288)"
23963,JB281697,05/28/2018 01:11:00 AM,051XX W FLOURNOY ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,1533,015,24,25,01A,1142131,1896471,2018,07/14/2018 03:49:06 PM,41.871975557,-87.753650193,"(41.871975557, -87.753650193)"
24038,JB338517,07/06/2018 07:59:00 PM,093XX S LUELLA AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0413,004,7,48,01A,1192807,1843407,2018,07/13/2018 03:50:04 PM,41.725274943,-87.569331431,"(41.725274943, -87.569331431)"
24037,JB338081,07/06/2018 04:47:00 PM,038XX W MONROE ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1122,011,28,26,01A,1150802,1899386,2018,07/13/2018 03:50:04 PM,41.87980954,-87.721738795,"(41.87980954, -87.721738795)"
24036,JB335959,07/05/2018 12:39:00 PM,008XX W EVERGREEN AVE,0110,HOMICIDE,FIRST DEGREE MURDER,RIVER BANK,false,false,1822,018,32,8,01A,1170175,1909048,2018,07/12/2018 03:56:08 PM,41.905921825,-87.650321536,"(41.905921825, -87.650321536)"
24035,JB333078,07/03/2018 05:52:00 AM,000XX E 59TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,false,false,0232,002,20,40,01A,1177911,1865920,2018,07/10/2018 04:03:21 PM,41.787403018,-87.623214708,"(41.787403018, -87.623214708)"
3476,HM135193,01/20/2006 02:05:00 PM,015XX S CHRISTIANA AVE,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,true,false,1021,010,24,29,01A,1154283,1892277,2006,07/10/2018 03:57:40 PM,41.860232898,-87.709146772,"(41.860232898, -87.709146772)"
24008,JB310642,06/17/2018 12:36:00 PM,016XX N LUNA AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,2532,025,37,25,01A,1139157,1910260,2018,07/10/2018 03:57:40 PM,41.909868892,-87.764233371,"(41.909868892, -87.764233371)"
23937,JB261522,05/13/2018 03:38:00 AM,079XX S DREXEL AVE,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,true,true,0624,006,8,44,01A,1183608,1852595,2018,07/10/2018 03:57:40 PM,41.750706929,-87.602741498,"(41.750706929, -87.602741498)"
